a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight
6,3,8,0.87098539,4.158,-5.7834601,4,530.97998
5,3,8,0.85374075,5.0650001,-5.9346199,4,516.99701
6,3,8,0.89002299,4.04,-5.7765899,4,532.95197
6,3,8,0.86561549,4.099,-5.6737199,4,532.99597
5,3,8,0.84727424,5.507,-6.1363902,4,531.02399
6,3,8,0.86405945,4.5999999,-5.98523,4,545.00696
6,4,8,0.87098539,4.0500002,-5.5303102,4,532.99597
6,4,8,0.87098539,4.0500002,-5.5303102,4,532.99597
6,3,8,0.87384534,3.2639999,-5.3545599,4,545.995
6,3,9,0.85943431,3.631,-5.60502,4,574.04901
5,3,8,0.90112293,5.6409202,-6.4361901,4,552.97699
5,3,8,0.87768233,4.8590002,-6.05654,4,534.987
5,3,8,0.87768233,4.8590002,-6.05654,4,534.987
6,3,8,0.88899887,4.211,-5.9686999,4,550.98596
6,3,8,0.85889697,4.4980001,-5.8754902,4,547.02301
7,3,8,0.91281885,3.454,-5.7189999,4,567.034
6,3,8,0.89445627,4.27,-6.0784402,4,548.96997
5,3,8,0.87560773,4.7350001,-6.5229602,4,549.06299
6,4,8,0.86405945,4.4920001,-5.73208,4,547.02301
6,3,8,0.85095942,5.3070002,-6.5918698,4,524.97601
6,3,8,0.88688421,5.2259998,-7.0101199,4,531.00397
7,3,9,0.87011337,3.573,-5.7400298,4,563.02197
6,3,8,0.86405945,4.5570002,-5.98523,4,545.00696
6,3,8,0.88687789,4.6690001,-6.28021,4,562.99701
6,3,8,0.88163239,4.6100001,-6.1704702,4,565.013
7,3,8,0.88397372,4.3239999,-7.4141502,4,529.95197
5,4,2,0.91658014,-0.59200001,-1.3247,3,265.27301
9,2,14,0.90720135,2.97,-6.0747399,5,667.82501
8,3,16,0.84311521,4.7519999,-6.8351998,6,729.96399
8,3,17,0.83874363,5.2620001,-6.91153,6,743.99097
8,3,16,0.84254193,5.4860001,-7.1367002,7,756.00201
9,3,18,0.85168648,3.8670001,-6.32342,6,745.96301
9,3,18,0.85233963,3.273,-6.2473602,6,772.98901
10,3,18,0.85928547,2.839,-6.5388398,7,815.026
8,3,17,0.8342995,5.737,-7.9486799,7,778.008
9,3,17,0.84249347,4.5050001,-6.6905398,7,778.99597
9,3,17,0.84249347,4.4660001,-6.8434601,7,778.99597
9,3,17,0.84249347,4.5040002,-6.6905398,7,778.99597
9,3,17,0.86642826,4.0669999,-6.97123,7,785.02399
8,4,15,0.86582202,3.2390001,-5.8480601,6,673.85602
9,3,18,0.85640109,3.425,-6.1216502,6,731.93597
9,3,18,0.85640109,3.425,-6.1216502,6,731.93597
8,3,17,0.84311521,4.8200002,-6.7097602,6,729.96399
8,3,17,0.84311521,4.8200002,-6.7097602,6,729.96399
9,3,17,0.84673333,4.0619998,-6.48877,7,764.96899
9,3,17,0.84673333,4.0630002,-6.48877,7,764.96899
9,3,17,0.87127441,3.625,-6.7694602,7,770.99701
9,3,17,0.87127441,3.625,-6.7694602,7,770.99701
9,3,17,0.84673333,4.0240002,-6.6416898,7,764.96899
9,5,5,1.0669181,-1.823,-0.96371001,3,380.681
14,11,10,1.2178538,-5.322,0.55677003,2,562.14697
3,2,4,1.0827179,2.5699999,-6.0300498,6,612.03497
2,0,3,0.86342901,4.4559999,-5.4965901,3,354.38599
10,8,8,0.83511674,8.9589996,-13.80185,7,752.80798
10,8,9,0.82058161,10.919,-16.22823,8,828.90601
8,5,4,1.0564133,-2.72,-0.063539997,2,308.18298
3,1,1,0.88769364,3.26336,-3.36695,4,351.237
3,1,1,0.75930852,4.1630001,-4.3991499,5,358.44501
5,1,1,0.81309831,1.733,-2.5650101,5,354.41
3,2,3,0.82060564,1.243,-1.99763,5,290.40698
4,2,3,0.83479631,1.091,-1.49008,4,277.36798
3,2,3,0.80072314,1.649,-2.0996699,4,292.423
3,2,3,0.79523534,2.8069999,-3.5502601,5,324.42398
3,2,3,0.79523534,2.2149999,-3.2278099,5,326.44
8,1,12,0.88434935,0.30827999,-4.0317402,3,449.40399
8,1,12,0.87559038,0.77028,-4.3589501,3,463.431
5,2,13,0.80944574,3.109,-5.8287301,4,547.67596
5,2,8,1.2729235,1.11752,-2.10041,0,318.10599
7,1,2,1.2746123,-0.223,-2.9791,3,430.091
7,1,4,1.1374985,1.5650001,-4.7470002,4,506.189
2,1,6,0.76364344,5.1810002,-5.3278198,3,353.897
1,1,0,0.75911278,2.8610001,-4.4804001,5,217.35599
1,1,0,0.75911278,2.8610001,-4.4804001,5,217.35599
2,2,0,0.7836839,1.845,-1.90128,5,232.371
1,1,0,0.75911278,2.8610001,-4.4804001,5,217.35599
2,0,1,0.80631411,3.359,-4.0743399,5,217.312
2,0,1,0.80631411,3.359,-4.7012401,5,217.312
1,1,0,0.75911278,2.8610001,-3.8534999,5,217.35599
2,2,0,0.7836839,1.845,-2.5281799,5,232.371
2,2,0,0.7836839,1.845,-2.84163,5,232.371
1,1,0,0.75911278,2.8610001,-3.8534999,5,217.35599
1,1,0,0.75911278,2.8610001,-3.8534999,5,217.35599
1,1,0,0.75162709,3.26,-4.3687201,5,231.383
2,2,0,0.77485573,2.244,-2.4165001,5,246.39799
1,1,0,0.97349912,3.122,-2.7882299,5,282.22501
1,1,1,0.75162709,2.9100001,-5.18363,5,231.383
1,1,1,0.75162709,2.9100001,-5.18363,5,231.383
1,1,2,0.74508858,3.5239999,-5.3853998,5,245.40999
1,1,2,0.74508858,3.5239999,-5.3853998,5,245.40999
1,1,1,0.73932821,3.7079999,-6.2140698,5,259.43698
1,1,1,0.73932821,3.7079999,-6.2140698,5,259.43698
1,1,0,0.77934742,2.947,-4.5681801,7,255.405
2,2,0,0.80007803,1.931,-3.5563099,7,270.41998
1,1,2,0.73865837,3.4349999,-5.2592101,5,245.40999
1,1,0,0.77934742,2.947,-5.1950798,7,255.405
13,10,8,1.1739805,-3.8840001,0.17359,3,523.20001
13,10,8,1.1739805,-3.8840001,0.17359,3,523.20001
8,5,9,1.0029926,-3.2202599,-0.7202,2,363.267
8,4,11,0.94519478,-2.2225201,-1.7198,2,405.34799
8,5,11,0.92144287,-1.22326,-2.5495701,3,453.392
8,5,9,0.98486918,-2.75826,-1.04741,2,377.29401
9,5,12,0.93440354,-1.77552,-2.5649199,3,469.39099
9,5,12,0.93440354,-1.77552,-2.5649199,3,469.39099
9,5,12,0.93440354,-1.77552,-2.5649199,3,469.39099
8,5,8,0.9684056,-2.0042601,-1.47435,3,403.332
8,5,10,0.93275839,-1.31126,-2.4881001,3,439.36499
8,5,8,0.97312784,-2.0042601,-1.47435,3,403.332
4,1,5,0.76995039,4.3699999,-4.0232601,2,312.36499
4,3,9,0.74457538,4.855,-5.9133401,4,476.746
3,2,9,0.72574228,5.8699999,-8.5117998,4,460.74698
13,5,19,0.94194543,0.98654002,-3.63276,2,635.51996
3,3,8,0.71289682,6.9050002,-9.0619202,4,446.76398
2,2,6,0.70196098,7.8210001,-9.3705597,4,417.72198
3,3,9,0.71081817,7.3470001,-9.26369,4,460.79099
3,3,10,0.70886904,7.789,-9.4654598,4,474.81799
3,3,11,0.70703775,8.2309999,-9.6672297,4,488.845
4,2,7,0.85867882,2.026,-4.3976302,5,403.479
7,4,3,1.0061324,-1.026,-1.45823,3,315.22598
11,6,7,0.99797785,-2.05494,-2.9038799,4,534.466
15,8,8,1.0297476,-4.789,-1.23114,5,574.396
6,1,6,0.84243453,-0.14,-4.69525,4,400.439
2,1,10,0.78265339,7.4790001,-6.92172,3,456.461
13,7,10,1.0070955,-6.2649999,0.47676,3,478.41098
13,7,12,1.0042032,-5.4990001,0.080090001,3,508.43698
19,10,17,1.0063161,-8.5722599,0.47944,4,712.61499
13,7,12,0.98351151,-6.3179998,0.094290003,3,519.46399
15,9,15,0.99213117,-7.9499998,0.27906999,3,564.505
22,14,22,1.0025982,-11.312,0.60180998,4,813.724
23,13,24,0.99203628,-12.586,-0.17406,5,877.77496
23,15,28,0.97712666,-10.859,-0.17607,4,912.85699
24,16,28,0.98245233,-12.134,-0.39774999,4,955.88196
23,14,28,0.96387124,-10.672,0.30037999,4,898.87396
14,9,14,1.004407,-7.4559999,0.34489,3,550.47797
20,12,18,1.003069,-9.8660002,0.57183999,4,726.646
14,9,17,0.98544204,-7.789,0.67944998,2,534.479
14,8,12,1.001348,-6.7639999,-0.1411,3,535.46301
14,8,13,1.001348,-7.138,0.30419001,3,535.46301
13,7,9,1.0225024,-6.6012602,0.35868001,3,464.384
14,8,12,0.95348734,-5.2509999,-1.34578,4,569.52399
14,8,12,0.95348734,-5.2509999,-1.34578,4,569.52399
13,7,12,0.97979796,-5.381,0.07322,3,506.465
13,7,14,0.95636028,-4.4970002,-0.64376998,3,534.51898
22,14,28,0.96809483,-9.8710003,0.085210003,4,911.86896
13,7,10,0.99290705,-5.895,0.27498999,3,492.43799
13,7,10,0.97979796,-5.539,0.07322,3,506.465
13,7,9,0.97117329,-4.527,-1.31696,4,526.45502
13,7,10,0.95998418,-4.3930001,-1.38278,4,540.48199
14,9,18,0.97368318,-7.3470001,0.47768,2,548.50598
13,8,15,0.99470341,-6.9770002,0.70457,2,505.43698
14,7,12,1.0042032,-6.93152,0.21604,3,508.43698
13,3,18,0.95695275,-4.65378,-1.99552,3,646.55896
