a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight,Activity_value
2,1,7,0.88333523,3.57076,-5.53475,4,473.45499,0
7,1,6,0.88191891,0.49700001,-4.9735699,5,469.51999,0
2,0,2,0.76224995,3.277,-3.61097,2,198.22499,0
0,0,1,1.8577495,1.90036,-1.9748,0,218.832,0
0,0,1,1.0747631,3.0209999,-3.6436901,1,192.00099,0
3,2,9,0.86673224,4.35076,-6.35253,5,554.573,0
0,0,2,0.78833461,3.799,-4.60149,2,199.209,0
0,1,3,0.80501294,3.221,-3.7954299,2,214.224,0
4,1,6,0.79896384,3.816,-5.39498,5,422.444,0
0,0,1,0.90970325,4.664,-4.90165,2,233.108,0
0,0,2,1.4548151,7.6110001,-8.6195402,2,564.69098,0
0,0,1,0.90970325,4.7010002,-4.90165,2,233.108,0
2,0,4,0.76210487,0.54000002,-1.36142,1,179.21899,0
5,0,7,0.77487344,2.977,-4.9703002,4,446.55099,0
5,0,7,0.7775287,3.711,-5.2718,5,472.58899,0
5,0,9,0.77487344,2.957,-4.8448601,4,446.55099,0
5,0,9,0.77487344,2.957,-4.8448601,4,446.55099,0
4,0,8,0.82245201,1.3789999,-3.39499,4,416.44098,0
5,1,8,0.81363529,0.89399999,-3.21737,4,416.465,0
7,3,8,0.82245201,0.168,-3.8092501,4,416.44098,0
4,2,8,0.81020439,2.122,-5.1546998,4,436.51599,0
3,0,5,0.73420209,2.8659999,-2.8498299,4,314.47299,0
2,3,4,0.78919548,3.9549999,-4.5981002,4,352.50598,0
2,3,4,0.78919548,3.9549999,-4.2846498,4,352.50598,0
1,0,3,0.84797996,1.591,-3.0316999,4,360.409,0
1,0,4,0.86246908,1.727,-3.22311,5,402.44598,0
1,0,4,0.86502045,1.249,-2.9216101,4,376.40799,0
2,1,3,0.79680365,3.096,-4.2794299,4,357.47,0
1,0,3,0.86849946,0.012,-2.61833,4,332.35498,0
2,0,2,0.86963469,0.79799998,-3.07565,4,361.37299,0
2,0,2,0.86963469,0.79799998,-3.07565,4,361.37299,0
4,0,6,0.82194376,3.658,-5.2093301,4,457.521,0
4,0,6,0.82825184,3.95,-5.3090601,5,469.53198,0
4,0,8,0.82194376,3.638,-5.08389,4,457.521,0
4,0,8,0.82194376,3.618,-4.9584498,4,457.521,0
4,0,8,0.81598091,4.0599999,-5.1602201,4,471.54797,0
5,2,10,0.83107865,1.9400001,-5.6408601,4,495.60001,0
2,2,11,0.87928915,4.1360002,-5.90698,3,493.004,0
5,1,8,0.77400208,1.517,-3.23105,4,413.56598,0
6,0,8,0.80082852,1.372,-3.5880499,5,462.55399,0
